Segment,Number of Speakers,Number of Speeches,Number of Speeches per Speaker
EN2006b_2280_2290,2,9,"[5, 4, 0, 0, 0]"
EN2006b_2290_2300,3,6,"[3, 2, 1, 0, 0]"
EN2006b_2300_2310,3,8,"[4, 2, 2, 0, 0]"
EN2006b_2310_2320,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2320_2330,3,4,"[2, 1, 1, 0, 0]"
EN2006b_2330_2340,2,8,"[4, 4, 0, 0, 0]"
EN2006b_2340_2350,2,4,"[2, 2, 0, 0, 0]"
EN2006b_2350_2360,3,3,"[1, 1, 1, 0, 0]"
EN2006b_2360_2370,2,7,"[4, 3, 0, 0, 0]"
EN2006b_2370_2380,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2380_2390,3,7,"[3, 3, 1, 0, 0]"
EN2006b_2390_2400,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2400_2410,2,4,"[2, 2, 0, 0, 0]"
EN2006b_2410_2420,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2420_2430,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2430_2440,3,8,"[4, 3, 1, 0, 0]"
EN2006b_2440_2450,2,16,"[8, 8, 0, 0, 0]"
EN2006b_2450_2460,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2460_2470,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2470_2480,2,8,"[4, 4, 0, 0, 0]"
EN2006b_2480_2490,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2490_2500,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2500_2510,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2510_2520,2,8,"[4, 4, 0, 0, 0]"
EN2006b_2520_2530,2,6,"[3, 3, 0, 0, 0]"
EN2006b_2530_2540,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2540_2550,2,7,"[4, 3, 0, 0, 0]"
EN2006b_2550_2560,3,9,"[4, 3, 2, 0, 0]"
EN2006b_2560_2570,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2570_2580,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2580_2590,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2590_2600,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2600_2610,3,6,"[3, 2, 1, 0, 0]"
EN2006b_2610_2620,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2620_2630,3,11,"[6, 5, 0, 0, 0]"
EN2006b_2630_2640,2,9,"[5, 4, 0, 0, 0]"
EN2006b_2640_2650,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2650_2660,3,7,"[3, 3, 1, 0, 0]"
EN2006b_2660_2670,3,4,"[2, 1, 1, 0, 0]"
EN2006b_2670_2680,2,9,"[5, 4, 0, 0, 0]"
EN2006b_2680_2690,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2690_2700,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2700_2710,3,10,"[4, 3, 3, 0, 0]"
EN2006b_2710_2720,3,9,"[5, 3, 1, 0, 0]"
EN2006b_2720_2730,2,9,"[5, 4, 0, 0, 0]"
EN2006b_2730_2740,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2740_2750,3,10,"[5, 4, 1, 0, 0]"
EN2006b_2750_2760,2,6,"[3, 3, 0, 0, 0]"
EN2006b_2760_2770,2,4,"[2, 2, 0, 0, 0]"
EN2006b_2770_2780,3,5,"[3, 1, 1, 0, 0]"
EN2006b_2780_2790,2,11,"[6, 5, 0, 0, 0]"
EN2006b_2790_2800,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2800_2810,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2810_2820,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2820_2830,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2830_2840,2,12,"[6, 6, 0, 0, 0]"
EN2006b_2840_2850,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2850_2860,2,5,"[3, 2, 0, 0, 0]"
EN2006b_2860_2870,2,4,"[2, 2, 0, 0, 0]"
EN2006b_2870_2880,3,3,"[1, 1, 1, 0, 0]"
EN2006b_2880_2890,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2890_2900,2,3,"[2, 1, 0, 0, 0]"
EN2006b_2900_2910,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2910_2920,2,4,"[2, 2, 0, 0, 0]"
EN2006b_2920_2930,2,2,"[1, 1, 0, 0, 0]"
EN2006b_2930_2940,1,1,"[1, 0, 0, 0, 0]"
EN2006b_2940_2950,2,8,"[4, 4, 0, 0, 0]"
EN2006b_2950_2960,4,7,"[3, 2, 1, 1, 0]"
EN2006b_2960_2970,4,9,"[3, 3, 2, 1, 0]"
EN2006b_2970_2980,2,4,"[2, 2, 0, 0, 0]"
EN2006b_2980_2990,4,12,"[4, 3, 3, 2, 0]"
EN2009d_0000_0010,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0010_0020,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0020_0030,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0030_0040,2,8,"[4, 4, 0, 0, 0]"
EN2009d_0040_0050,2,23,"[12, 11, 0, 0, 0]"
EN2009d_0050_0060,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0060_0070,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0070_0080,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0080_0090,2,5,"[3, 2, 0, 0, 0]"
EN2009d_0090_0100,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0100_0110,3,17,"[9, 4, 4, 0, 0]"
EN2009d_0110_0120,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0120_0130,2,21,"[11, 10, 0, 0, 0]"
EN2009d_0130_0140,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0140_0150,2,6,"[3, 3, 0, 0, 0]"
EN2009d_0150_0160,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0160_0170,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0170_0180,2,6,"[3, 3, 0, 0, 0]"
EN2009d_0180_0190,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0190_0200,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0200_0210,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0210_0220,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0220_0230,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0230_0240,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0240_0250,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0250_0260,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0260_0270,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0270_0280,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0280_0290,3,12,"[6, 3, 3, 0, 0]"
EN2009d_0290_0300,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0300_0310,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0310_0320,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0320_0330,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0330_0340,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0340_0350,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0350_0360,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0360_0370,3,3,"[1, 1, 1, 0, 0]"
EN2009d_0370_0380,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0380_0390,2,9,"[5, 4, 0, 0, 0]"
EN2009d_0390_0400,2,7,"[4, 3, 0, 0, 0]"
EN2009d_0400_0410,2,7,"[4, 3, 0, 0, 0]"
EN2009d_0410_0420,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0420_0430,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0430_0440,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0440_0450,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0450_0460,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0460_0470,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0470_0480,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0480_0490,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0490_0500,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0500_0510,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0510_0520,2,10,"[5, 5, 0, 0, 0]"
EN2009d_0520_0530,3,12,"[6, 5, 1, 0, 0]"
EN2009d_0530_0540,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0540_0550,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0550_0560,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0560_0570,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0570_0580,2,6,"[3, 3, 0, 0, 0]"
EN2009d_0580_0590,2,9,"[5, 4, 0, 0, 0]"
EN2009d_0590_0600,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0600_0610,3,16,"[6, 6, 4, 0, 0]"
EN2009d_0610_0620,3,8,"[4, 3, 1, 0, 0]"
EN2009d_0620_0630,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0630_0640,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0640_0650,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0650_0660,3,5,"[2, 2, 1, 0, 0]"
EN2009d_0660_0670,3,7,"[3, 2, 2, 0, 0]"
EN2009d_0670_0680,3,4,"[2, 1, 1, 0, 0]"
EN2009d_0680_0690,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0690_0700,2,18,"[9, 9, 0, 0, 0]"
EN2009d_0700_0710,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0710_0720,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0720_0730,3,5,"[2, 2, 1, 0, 0]"
EN2009d_0730_0740,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0740_0750,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0750_0760,2,2,"[1, 1, 0, 0, 0]"
EN2009d_0760_0770,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0770_0780,2,7,"[4, 3, 0, 0, 0]"
EN2009d_0780_0790,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0790_0800,2,6,"[3, 3, 0, 0, 0]"
EN2009d_0800_0810,2,12,"[6, 6, 0, 0, 0]"
EN2009d_0810_0820,3,4,"[2, 1, 1, 0, 0]"
EN2009d_0820_0830,2,12,"[6, 6, 0, 0, 0]"
EN2009d_0830_0840,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0840_0850,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0850_0860,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0860_0870,2,5,"[3, 2, 0, 0, 0]"
EN2009d_0870_0880,3,4,"[2, 1, 1, 0, 0]"
EN2009d_0880_0890,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0890_0900,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0900_0910,2,9,"[5, 4, 0, 0, 0]"
EN2009d_0910_0920,2,3,"[2, 1, 0, 0, 0]"
EN2009d_0920_0930,3,6,"[3, 2, 1, 0, 0]"
EN2009d_0930_0940,2,13,"[7, 6, 0, 0, 0]"
EN2009d_0940_0950,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0950_0960,1,1,"[1, 0, 0, 0, 0]"
EN2009d_0960_0970,2,4,"[2, 2, 0, 0, 0]"
EN2009d_0970_0980,3,14,"[7, 5, 2, 0, 0]"
EN2009d_0980_0990,4,12,"[5, 5, 1, 1, 0]"
EN2009d_0990_1000,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1000_1010,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1010_1020,2,5,"[3, 2, 0, 0, 0]"
EN2009d_1020_1030,2,12,"[6, 6, 0, 0, 0]"
EN2009d_1030_1040,2,18,"[9, 9, 0, 0, 0]"
EN2009d_1040_1050,2,10,"[5, 5, 0, 0, 0]"
EN2009d_1050_1060,2,3,"[2, 1, 0, 0, 0]"
EN2009d_1060_1070,2,4,"[2, 2, 0, 0, 0]"
EN2009d_1070_1080,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1080_1090,2,8,"[4, 4, 0, 0, 0]"
EN2009d_1090_1100,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1100_1110,2,13,"[7, 6, 0, 0, 0]"
EN2009d_1110_1120,3,8,"[4, 3, 1, 0, 0]"
EN2009d_1120_1130,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1130_1140,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1140_1150,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1150_1160,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1160_1170,2,8,"[4, 4, 0, 0, 0]"
EN2009d_1170_1180,2,13,"[7, 6, 0, 0, 0]"
EN2009d_1180_1190,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1190_1200,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1200_1210,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1210_1220,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1220_1230,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1230_1240,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1240_1250,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1250_1260,2,11,"[6, 5, 0, 0, 0]"
EN2009d_1260_1270,3,10,"[5, 4, 1, 0, 0]"
EN2009d_1270_1280,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1280_1290,2,5,"[3, 2, 0, 0, 0]"
EN2009d_1290_1300,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1300_1310,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1310_1320,2,5,"[3, 2, 0, 0, 0]"
EN2009d_1320_1330,3,4,"[2, 1, 1, 0, 0]"
EN2009d_1330_1340,2,3,"[2, 1, 0, 0, 0]"
EN2009d_1340_1350,3,9,"[4, 4, 1, 0, 0]"
EN2009d_1350_1360,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1360_1370,2,14,"[7, 7, 0, 0, 0]"
EN2009d_1370_1380,2,4,"[2, 2, 0, 0, 0]"
EN2009d_1380_1390,3,10,"[4, 4, 2, 0, 0]"
EN2009d_1390_1400,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1400_1410,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1410_1420,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1420_1430,2,10,"[5, 5, 0, 0, 0]"
EN2009d_1430_1440,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1440_1450,3,10,"[5, 3, 2, 0, 0]"
EN2009d_1450_1460,2,3,"[2, 1, 0, 0, 0]"
EN2009d_1460_1470,3,6,"[3, 2, 1, 0, 0]"
EN2009d_1470_1480,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1480_1490,2,14,"[7, 7, 0, 0, 0]"
EN2009d_1490_1500,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1500_1510,3,22,"[10, 8, 4, 0, 0]"
EN2009d_1510_1520,3,8,"[3, 3, 2, 0, 0]"
EN2009d_1520_1530,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1530_1540,2,5,"[3, 2, 0, 0, 0]"
EN2009d_1540_1550,3,8,"[4, 3, 1, 0, 0]"
EN2009d_1550_1560,3,6,"[3, 2, 1, 0, 0]"
EN2009d_1560_1570,2,3,"[2, 1, 0, 0, 0]"
EN2009d_1570_1580,3,14,"[6, 6, 2, 0, 0]"
EN2009d_1580_1590,3,11,"[5, 4, 2, 0, 0]"
EN2009d_1590_1600,2,10,"[5, 5, 0, 0, 0]"
EN2009d_1600_1610,3,24,"[11, 8, 5, 0, 0]"
EN2009d_1610_1620,2,3,"[2, 1, 0, 0, 0]"
EN2009d_1620_1630,3,11,"[6, 4, 1, 0, 0]"
EN2009d_1630_1640,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1640_1650,3,8,"[4, 3, 1, 0, 0]"
EN2009d_1650_1660,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1660_1670,2,7,"[4, 3, 0, 0, 0]"
EN2009d_1670_1680,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1680_1690,2,7,"[4, 3, 0, 0, 0]"
EN2009d_1690_1700,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1700_1710,2,22,"[11, 11, 0, 0, 0]"
EN2009d_1710_1720,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1720_1730,2,5,"[3, 2, 0, 0, 0]"
EN2009d_1730_1740,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1740_1750,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1750_1760,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1760_1770,3,4,"[2, 1, 1, 0, 0]"
EN2009d_1770_1780,3,6,"[3, 2, 1, 0, 0]"
EN2009d_1780_1790,4,17,"[5, 4, 4, 4, 0]"
EN2009d_1790_1800,2,4,"[2, 2, 0, 0, 0]"
EN2009d_1800_1810,2,4,"[2, 2, 0, 0, 0]"
EN2009d_1810_1820,2,4,"[2, 2, 0, 0, 0]"
EN2009d_1820_1830,3,10,"[5, 4, 1, 0, 0]"
EN2009d_1830_1840,2,12,"[6, 6, 0, 0, 0]"
EN2009d_1840_1850,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1850_1860,2,3,"[2, 1, 0, 0, 0]"
EN2009d_1860_1870,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1870_1880,2,9,"[5, 4, 0, 0, 0]"
EN2009d_1880_1890,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1890_1900,2,5,"[3, 2, 0, 0, 0]"
EN2009d_1900_1910,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1910_1920,2,6,"[3, 3, 0, 0, 0]"
EN2009d_1920_1930,2,16,"[8, 8, 0, 0, 0]"
EN2009d_1930_1940,2,2,"[1, 1, 0, 0, 0]"
EN2009d_1940_1950,1,1,"[1, 0, 0, 0, 0]"
EN2009d_1950_1960,3,8,"[3, 3, 2, 0, 0]"
EN2009d_1960_1970,2,9,"[5, 4, 0, 0, 0]"
EN2009d_1970_1980,3,12,"[6, 5, 1, 0, 0]"
EN2009d_1980_1990,3,14,"[7, 5, 2, 0, 0]"
EN2009d_1990_2000,2,3,"[2, 1, 0, 0, 0]"
EN2009d_2000_2010,3,5,"[2, 2, 1, 0, 0]"
EN2009d_2010_2020,3,13,"[7, 4, 2, 0, 0]"
EN2009d_2020_2030,3,11,"[6, 4, 1, 0, 0]"
EN2009d_2030_2040,3,10,"[5, 3, 2, 0, 0]"
EN2009d_2040_2050,3,4,"[2, 1, 1, 0, 0]"
EN2009d_2050_2060,3,6,"[2, 2, 2, 0, 0]"
EN2009d_2060_2070,3,6,"[3, 2, 1, 0, 0]"
EN2009d_2070_2080,3,17,"[7, 6, 4, 0, 0]"
EN2009d_2080_2090,2,3,"[2, 1, 0, 0, 0]"
EN2009d_2090_2100,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2100_2110,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2110_2120,3,14,"[7, 6, 1, 0, 0]"
EN2009d_2120_2130,4,5,"[2, 1, 1, 1, 0]"
EN2009d_2130_2140,2,4,"[2, 2, 0, 0, 0]"
EN2009d_2140_2150,3,8,"[4, 3, 1, 0, 0]"
EN2009d_2150_2160,3,17,"[9, 6, 2, 0, 0]"
EN2009d_2160_2170,3,15,"[6, 6, 3, 0, 0]"
EN2009d_2170_2180,3,14,"[7, 5, 2, 0, 0]"
EN2009d_2180_2190,3,16,"[7, 6, 3, 0, 0]"
EN2009d_2190_2200,3,11,"[5, 5, 1, 0, 0]"
EN2009d_2200_2210,4,14,"[4, 4, 3, 3, 0]"
EN2009d_2210_2220,3,26,"[9, 9, 8, 0, 0]"
EN2009d_2220_2230,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2230_2240,2,2,"[1, 1, 0, 0, 0]"
EN2009d_2240_2250,3,11,"[6, 4, 1, 0, 0]"
EN2009d_2250_2260,2,9,"[5, 4, 0, 0, 0]"
EN2009d_2260_2270,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2270_2280,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2280_2290,2,6,"[3, 3, 0, 0, 0]"
EN2009d_2290_2300,3,12,"[6, 5, 1, 0, 0]"
EN2009d_2300_2310,3,20,"[10, 5, 5, 0, 0]"
EN2009d_2310_2320,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2320_2330,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2330_2340,2,2,"[1, 1, 0, 0, 0]"
EN2009d_2340_2350,2,16,"[8, 8, 0, 0, 0]"
EN2009d_2350_2360,2,4,"[2, 2, 0, 0, 0]"
EN2009d_2360_2370,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2370_2380,2,3,"[2, 1, 0, 0, 0]"
EN2009d_2380_2390,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2390_2400,2,3,"[2, 1, 0, 0, 0]"
EN2009d_2400_2410,4,20,"[9, 8, 2, 1, 0]"
EN2009d_2410_2420,4,10,"[5, 3, 1, 1, 0]"
EN2009d_2420_2430,3,21,"[10, 9, 2, 0, 0]"
EN2009d_2430_2440,3,4,"[2, 1, 1, 0, 0]"
EN2009d_2440_2450,2,6,"[3, 3, 0, 0, 0]"
EN2009d_2450_2460,2,2,"[1, 1, 0, 0, 0]"
EN2009d_2460_2470,4,10,"[5, 3, 1, 1, 0]"
EN2009d_2470_2480,3,14,"[7, 4, 3, 0, 0]"
EN2009d_2480_2490,2,6,"[3, 3, 0, 0, 0]"
EN2009d_2490_2500,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2500_2510,2,5,"[3, 2, 0, 0, 0]"
EN2009d_2510_2520,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2520_2530,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2530_2540,3,9,"[4, 4, 1, 0, 0]"
EN2009d_2540_2550,3,7,"[3, 3, 1, 0, 0]"
EN2009d_2550_2560,3,5,"[3, 1, 1, 0, 0]"
EN2009d_2560_2570,2,4,"[2, 2, 0, 0, 0]"
EN2009d_2570_2580,2,7,"[4, 3, 0, 0, 0]"
EN2009d_2580_2590,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2590_2600,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2600_2610,3,8,"[4, 3, 1, 0, 0]"
EN2009d_2610_2620,3,13,"[6, 4, 3, 0, 0]"
EN2009d_2620_2630,2,2,"[1, 1, 0, 0, 0]"
EN2009d_2630_2640,3,9,"[4, 3, 2, 0, 0]"
EN2009d_2640_2650,3,9,"[4, 3, 2, 0, 0]"
EN2009d_2650_2660,2,8,"[4, 4, 0, 0, 0]"
EN2009d_2660_2670,4,25,"[8, 8, 8, 1, 0]"
EN2009d_2670_2680,3,22,"[11, 6, 5, 0, 0]"
EN2009d_2680_2690,2,4,"[2, 2, 0, 0, 0]"
EN2009d_2690_2700,4,12,"[5, 5, 1, 1, 0]"
EN2009d_2700_2710,2,4,"[2, 2, 0, 0, 0]"
EN2009d_2710_2720,2,5,"[3, 2, 0, 0, 0]"
EN2009d_2720_2730,3,8,"[4, 3, 1, 0, 0]"
EN2009d_2730_2740,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2740_2750,3,3,"[1, 1, 1, 0, 0]"
EN2009d_2750_2760,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2760_2770,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2770_2780,2,2,"[1, 1, 0, 0, 0]"
EN2009d_2780_2790,3,13,"[6, 4, 3, 0, 0]"
EN2009d_2790_2800,3,19,"[9, 7, 3, 0, 0]"
EN2009d_2800_2810,3,4,"[2, 1, 1, 0, 0]"
EN2009d_2810_2820,2,11,"[6, 5, 0, 0, 0]"
EN2009d_2820_2830,2,2,"[1, 1, 0, 0, 0]"
EN2009d_2830_2840,2,5,"[3, 2, 0, 0, 0]"
EN2009d_2840_2850,2,8,"[4, 4, 0, 0, 0]"
EN2009d_2850_2860,2,8,"[4, 4, 0, 0, 0]"
EN2009d_2860_2870,3,20,"[10, 9, 1, 0, 0]"
EN2009d_2870_2880,3,3,"[1, 1, 1, 0, 0]"
EN2009d_2880_2890,2,6,"[3, 3, 0, 0, 0]"
EN2009d_2890_2900,2,7,"[4, 3, 0, 0, 0]"
EN2009d_2900_2910,2,4,"[2, 2, 0, 0, 0]"
EN2009d_2910_2920,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2920_2930,2,8,"[4, 4, 0, 0, 0]"
EN2009d_2930_2940,3,5,"[3, 1, 1, 0, 0]"
EN2009d_2940_2950,2,3,"[2, 1, 0, 0, 0]"
EN2009d_2950_2960,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2960_2970,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2970_2980,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2980_2990,1,1,"[1, 0, 0, 0, 0]"
EN2009d_2990_3000,1,1,"[1, 0, 0, 0, 0]"
EN2009d_3000_3010,2,8,"[4, 4, 0, 0, 0]"
EN2009d_3010_3020,2,2,"[1, 1, 0, 0, 0]"
EN2009d_3020_3030,1,1,"[1, 0, 0, 0, 0]"
EN2009d_3030_3040,2,3,"[2, 1, 0, 0, 0]"
EN2009d_3040_3050,2,2,"[1, 1, 0, 0, 0]"
EN2009d_3050_3060,2,6,"[3, 3, 0, 0, 0]"
EN2009d_3060_3070,1,1,"[1, 0, 0, 0, 0]"
EN2009d_3070_3080,2,1,"[1, 0, 0, 0, 0]"
EN2009d_3080_3090,2,6,"[3, 3, 0, 0, 0]"
EN2009d_3090_3100,4,10,"[4, 3, 2, 1, 0]"
EN2009d_3100_3110,2,5,"[3, 2, 0, 0, 0]"
EN2009d_3110_3120,2,7,"[4, 3, 0, 0, 0]"
EN2009d_3120_3130,1,1,"[1, 0, 0, 0, 0]"
EN2009d_3130_3140,3,5,"[2, 2, 1, 0, 0]"
EN2009d_3140_3150,2,2,"[1, 1, 0, 0, 0]"
EN2009d_3150_3160,2,5,"[3, 2, 0, 0, 0]"
EN2009d_3160_3170,3,13,"[6, 4, 3, 0, 0]"
EN2009d_3170_3180,2,11,"[6, 5, 0, 0, 0]"
EN2009d_3180_3190,3,12,"[6, 5, 1, 0, 0]"
EN2009d_3190_3200,3,10,"[5, 3, 2, 0, 0]"
EN2009d_3200_3210,3,15,"[7, 7, 1, 0, 0]"
EN2009d_3210_3220,2,6,"[3, 3, 0, 0, 0]"
EN2009d_3220_3230,3,12,"[6, 3, 3, 0, 0]"
EN2009d_3230_3240,1,1,"[1, 0, 0, 0, 0]"
EN2009d_3240_3250,3,3,"[1, 1, 1, 0, 0]"
EN2009d_3250_3260,3,7,"[3, 3, 1, 0, 0]"
EN2009d_3260_3270,3,10,"[5, 3, 2, 0, 0]"
EN2009d_3270_3280,3,6,"[2, 2, 2, 0, 0]"
EN2009d_3280_3290,2,9,"[5, 4, 0, 0, 0]"
EN2009d_3290_3300,3,16,"[8, 7, 1, 0, 0]"
EN2009d_3300_3310,3,17,"[8, 7, 2, 0, 0]"
EN2009d_3310_3320,2,8,"[4, 4, 0, 0, 0]"
EN2009d_3320_3330,2,2,"[1, 1, 0, 0, 0]"
EN2009d_3330_3340,3,16,"[8, 7, 1, 0, 0]"
EN2009d_3340_3350,3,24,"[10, 8, 6, 0, 0]"
EN2009d_3350_3360,3,7,"[3, 2, 2, 0, 0]"
EN2009d_3360_3370,2,7,"[4, 3, 0, 0, 0]"
EN2009d_3370_3380,2,21,"[11, 10, 0, 0, 0]"
EN2009d_3380_3390,4,22,"[11, 9, 1, 1, 0]"
